CategoryID,CategoryName,Item,AddItemAndPrice,OptionTypeAndPriceAndOptionItem
1,Donburi,Gyudon : 59 ; Gyudon with 3 Cheeses : 89 ; Gyudon w/ Kimchi : 89 ; Gyudon w/ Okra : 89 ; Gyudon with Green Onion and Raw Egg : 89,Miso Greens : 30 ; Short-necked Clam Miso Greens : 70 ; Karaage Miso(2 Piece) : 40 ; Karaage Miso(3 Piece) : 60 ; Short-necked Clam Karaage Miso(2 Piece) : 80 ; Short-necked Clam Karaage Miso(3 Piece) : 100 ; Croquette Miso : 50 ; Short-necked Clam Croquette Miso : 90,Small : 0 : Medium : 10 : Good deal : 30 : Large : 50 : Mega : 90
2,Curry,Special Curry : 79 ; Ontama Curry : 99 ; Cheeses Curry : 79 ; Croquette Curry : 99 ; Beef Curry : 119 ; Ontama Beef : 139,,Small : 0 : Medium : 10 : Good deal : 30 : Large : 50 : Mega : 90
3,Single,Greens : 30 ; Beef : 50 ; Roasted Chicken : 120 ; Grilled Pork : 120 ; Karaage(2 Piece) : 40 ; Karaage(5 Piece) : 80 ; Karaage(10 Piece) : 150 ; Croquette : 30 ; Kimchi : 35 ; Ontama : 20 ; Miso Soup : 20 ; Short-necked Clam Miso : 50 ; Unadon : 185 ; Rice : 30,,
